Serial No,School Name,Class,Years,Religion,Kurdish,Arabic,English,Math,Physic,Chemistry,Biology,Computer,History,Geography,Economics,Sociology,philosophy,Science,Social
202040,?????????? ????,8,2020-2019,87,91,60,80,52,,,,70,,,,,,76,64
202040,???????? ??????? ?????,10,2022-2021,71.5,53.5,50.5,64,40,50,52,59.5,63,,,,,,,
202040,???????? ??????? ?????,11,2023-2022,71.5,67,60.5,70.5,40,50,53,50,68.5,,,,,,,
202861,?????????? ???,8,2020-2019,95,86,91,100,80,,,,97,,,,,,93,100
202861,?????? ???????? ??????? ????,10,2023-2022,92.5,81.5,87.5,79,67,81.5,82.5,85,93.5,,,,,,,
203342,??????? ???????? ?????????? ???????? ??????? ,7,2023-2022,73,57,80,82,80,,,,78,,,,,,66,73
203362,?????????? ??????? ????,7,2023-2022,75,67,57,63,67,,,,73,,,,,,64,70
203365,?????????? ??????,7,2023-2022,69,57,52,66,67,,,,58,,,,,,54,73
203367,?????????? ??????? ????,7,2023-2022,75,70,63,87,75,,,,61,,,,,,63,75
203368,?????????? ???????,7,2023-2022,98,89,99,95,92,,,,96,,,,,,99,99
203369,?????????? ??????? ????,7,2023-2022,89,72,66,63,71,,,,70,,,,,,78,89
203370,?????????? ??????,7,2023-2022,82,71,63,92,68,,,,74,,,,,,64,85
203372,?????????? ??????,7,2023-2022,92,81,66,72,81,,,,81,,,,,,75,93
203373,?????????? ??????? ????,7,2023-2022,100,99,100,99,98,,,,100,,,,,,99,98
203375,?????????? ??????? ????,7,2023-2022,93,89,78,82,81,,,,77,,,,,,68,86
203378,?????????? ??????,7,2023-2022,65,59,58,66,64,,,,61,,,,,,50,78
203379,?????????? ??????,7,2023-2022,93,90,75,86,92,,,,94,,,,,,87,97
203381,?????????? ??????,7,2023-2022,83,67,55,86,86,,,,85,,,,,,60,80
203382,?????????? ??????,7,2023-2022,54,53,50,64,64,,,,63,,,,,,61,71
203384,?????????? ????,7,2023-2022,74,83,63,58,68,,,,79,,,,,,62,63
203387,?????????? ??????? ????,7,2023-2022,62,54,59,40,57,,,,54,,,,,,65,64
203388,?????????? ??????? ????,7,2023-2022,61,50,60,59,41,,,,44,,,,,,42,50
203389,?????????? ??????,7,2023-2022,64,53,50,61,60,,,,62,,,,,,44,68
203391,?????????? ??????? ????,7,2023-2022,62,50,33,51,50,,,,50,,,,,,46,55
203392,?????????? ??????,7,2023-2022,63,57,54,61,72,,,,50,,,,,,50,66
203393,?????????? ??????,7,2023-2022,59,64,52,70,74,,,,61,,,,,,61,78
203394,?????????? ??????,7,2023-2022,82,68,64,69,77,,,,63,,,,,,61,70
203395,?????????? ??????? ????,7,2023-2022,84,70,61,58,71,,,,50,,,,,,65,74
203396,?????????? ??????? ????,7,2023-2022,94,71,81,79,80,,,,69,,,,,,71,81
203397,?????????? ??????? ????,7,2023-2022,97,90,95,97,99,,,,84,,,,,,88,97
203399,?????????? ??????,7,2023-2022,50,42,32,54,38,,,,37,,,,,,23,54
203423,?????????? ??????? ????,7,2023-2022,59,53,28,33,65,,,,61,,,,,,51,50
203426,?????????? ??????? ????,7,2023-2022,96,84,90,86,93,,,,84,,,,,,79,92
203429,?????????? ????,7,2023-2022,100,97,94,97,97,,,,94,,,,,,97,100
203431,?????????? ??????,7,2023-2022,78,67,74,75,92,,,,73,,,,,,73,88
203432,?????????? ??????,7,2023-2022,68,56,56,61,61,,,,56,,,,,,41,68
203434,?????????? ??????,7,2023-2022,74,72,72,74,82,,,,70,,,,,,68,79
203436,?????????? ??????,7,2023-2022,74,78,59,79,83,,,,71,,,,,,76,91
203437,?????????? ??????,7,2023-2022,92,88,85,87,83,,,,86,,,,,,82,93
203438,?????????? ??????? ????,7,2023-2022,83,81,71,72,66,,,,79,,,,,,71,80
203439,?????????? ?????? ????,7,2023-2022,70,68,53,75,80,,,,84,,,,,,71,83
203440,?????????? ??????? ????,7,2022-2021,100,96,100,98,100,,,,100,,,,,,100,100
203440,?????????? ??????? ????,8,2023-2022,100,100,100,96,98,,,,99,,,,,,100,100
203442,?????????? ????,7,2022-2021,97,95,87,95,92,,,,88,,,,,,94,93
203442,?????????? ????,8,2023-2022,100,87,95,85,84,,,,97,,,,,,92,97
203443,?????????? ??????? ????,7,2022-2021,84,54,57,78,58,,,,50,,,,,,54,54
203443,?????????? ??????? ????,8,2023-2022,77,81,76,76,71,,,,66,,,,,,69,53
203446,?????????? ??????? ????,7,2022-2021,100,98,94,97,99,,,,100,,,,,,99,97
203446,?????????? ??????? ????,8,2023-2022,99,100,99,96,91,,,,100,,,,,,100,99
203452,?????????? ??????? ????,7,2022-2021,95,78,80,95,83,,,,87,,,,,,87,90
203452,?????????? ??????? ????,8,2023-2022,95,82,98,94,81,,,,98,,,,,,98,85
203457,?????????? ??????? ????,7,2022-2021,91,73,81,91,82,,,,80,,,,,,92,71
203457,?????????? ??????? ????,8,2023-2022,95,83,82,87,83,,,,78,,,,,,88,82
203460,?????????? ??????? ????,7,2022-2021,42,25,22,42,25,,,,35,,,,,,44,29
203460,?????????? ??????? ????,7,2023-2022,50,40,29,50,31,,,,44,,,,,,37,38
203464,?????????? ??????? ????,7,2022-2021,98,82,95,88,92,,,,90,,,,,,88,92
203464,?????????? ??????? ????,8,2023-2022,93,81,97,76,89,,,,84,,,,,,92,76
203467,?????????? ??????? ????,7,2022-2021,85,58,66,64,61,,,,76,,,,,,71,68
203467,?????????? ??????? ????,8,2023-2022,89,66,77,65,58,,,,91,,,,,,76,77
203469,?????????? ??????? ????,7,2022-2021,89,59,40,85,55,,,,52,,,,,,71,58
203469,?????????? ??????? ????,8,2023-2022,67,64,64,77,50,,,,61,,,,,,64,50
203474,?????????? ??????,7,2022-2021,71,66,50,77,70,,,,72,,,,,,63,80
203474,?????????? ??????,8,2023-2022,64,51,44,56,62,,,,54,,,,,,68,81
203477,?????????? ??????? ????,7,2022-2021,82,71,55,58,64,,,,56,,,,,,80,56
203477,?????????? ??????? ????,8,2023-2022,60,57,50,50,50,,,,59,,,,,,75,55
203478,?????????? ???????,7,2022-2021,75,72,63,72,58,,,,86,,,,,,54,66
203478,?????????? ???????,8,2023-2022,72,80,73,65,57,,,,77,,,,,,56,68
203482,?????????? ??????? ????,7,2022-2021,70,66,56,92,66,,,,62,,,,,,63,63
203482,?????????? ??????? ????,8,2023-2022,74,67,72,92,70,,,,81,,,,,,71,71
203485,?????????? ??????? ????,7,2022-2021,67,40,50,51,50,,,,50,,,,,,56,54
203485,?????????? ??????? ????,8,2023-2022,65,61,53,55,50,,,,54,,,,,,68,50
203486,?????????? ??????? ????,7,2022-2021,90,68,70,76,70,,,,77,,,,,,71,59
203486,?????????? ??????? ????,8,2023-2022,71,63,54,56,63,,,,61,,,,,,50,51
203488,?????????? ??????,7,2023-2022,51,50,42,52,46,,,,54,,,,,,39,61
203493,?????????? ??????? ????,7,2022-2021,77,58,50,64,51,,,,71,,,,,,63,58
203495,?????????? ??????? ????,7,2022-2021,77,50,42,56,50,,,,50,,,,,,63,62
203495,?????????? ??????? ????,8,2023-2022,70,61,71,46,50,,,,55,,,,,,68,54
203496,?????????? ??????? ????,7,2023-2022,99,87,97,95,91,,,,89,,,,,,90,97
203500,?????????? ????,7,2023-2022,86,60,60,57,56,,,,61,,,,,,64,50
203502,?????????? ??????? ????,7,2022-2021,98,86,92,96,93,,,,100,,,,,,92,94
203502,?????????? ??????? ????,8,2023-2022,100,96,97,95,86,,,,98,,,,,,98,98
203504,?????????? ??????,7,2022-2021,67,52,50,77,64,,,,57,,,,,,50,54
203504,?????????? ??????,8,2023-2022,69,57,50,54,50,,,,63,,,,,,50,53
203505,?????????? ??????? ????,7,2022-2021,83,65,50,60,44,,,,50,,,,,,69,67
203505,?????????? ??????? ????,8,2023-2022,68,54,52,50,40,,,,52,,,,,,61,55
203507,?????????? ??????? ????,7,2022-2021,70,32,22,50,31,,,,36,,,,,,44,35
203507,?????????? ??????? ????,7,2023-2022,45,58,39,38,50,,,,50,,,,,,41,42
203510,?????????? ??????,7,2022-2021,95,82,87,93,81,,,,80,,,,,,79,85
203510,?????????? ??????,8,2023-2022,94,84,71,79,74,,,,87,,,,,,70,74
203512,?????????? ????,7,2022-2021,100,89,91,96,92,,,,85,,,,,,95,86
203512,?????????? ????,8,2023-2022,99,83,92,85,88,,,,89,,,,,,90,85
203514,?????????? ??????,7,2022-2021,78,61,58,84,91,,,,66,,,,,,58,68
203514,?????????? ??????,8,2023-2022,79,68,50,60,85,,,,57,,,,,,62,59
203515,?????????? ??????? ????,7,2022-2021,66,52,50,42,50,,,,57,,,,,,56,57
203515,?????????? ??????? ????,8,2023-2022,81,59,50,43,52,,,,70,,,,,,55,61
203517,?????????? ??????? ????,7,2022-2021,85,64,60,88,66,,,,65,,,,,,73,61
203517,?????????? ??????? ????,8,2023-2022,74,67,53,75,54,,,,59,,,,,,78,69
